Directory,AppTime Max,AppTime Mean,AppTime Min,AppTime Stddev,AppTime Aggregate,MPITime Max,MPITime Mean,MPITime Min,MPITime Stddev,MPITime Aggregate,MPI%
2,0.040431,0.040429,0.040427,3.0e-06,0.080858,0.013063,0.006824,0.000585,0.008823,0.013649,16.88
3,0.041971,0.041594,0.041347,0.000331,0.124782,0.014897,0.010158,0.000761,0.008138,0.030475,24.42
4,0.045392,0.04501,0.044636,0.000356,0.180041,0.017702,0.013476,0.001082,0.008263,0.053905,29.94
6,0.056699,0.056005,0.055702,0.000387,0.33603,0.025352,0.021241,0.001564,0.009641,0.127447,37.93
