Directory,AppTime Max,AppTime Mean,AppTime Min,AppTime Stddev,AppTime Aggregate,MPITime Max,MPITime Mean,MPITime Min,MPITime Stddev,MPITime Aggregate,MPI%
2,0.027522,0.027433,0.027345,0.000125,0.054867,0.001622,0.000972,0.000321,0.00092,0.001943,3.54
3,0.0288,0.028695,0.028607,9.8e-05,0.086086,0.001622,0.001189,0.000354,0.000723,0.003568,4.14
4,0.030499,0.030408,0.030289,8.8e-05,0.121632,0.001865,0.001495,0.000445,0.0007,0.005979,4.92
6,0.032249,0.03168,0.031414,0.000309,0.190082,0.002798,0.002414,0.000786,0.000799,0.014487,7.62
